
 num     #instances         #bytes  class name
----------------------------------------------
   1:       4464627      454452936  [C
   2:       7284291      233097312  java.util.HashMap$Node
   3:       1620822      184280528  [Ljava.util.HashMap$Node;
   4:       1772810      122011000  [I
   5:       1620868       77801664  java.util.HashMap
   6:       1620728       77794944  edge.WordNeighborhood
   7:       2587998       62111952  java.lang.String
   8:       1854937       52240168  [Ljava.lang.Object;
   9:       3241456       51863296  java.util.Collections$SingletonSet
  10:        463166       29642624  java.util.regex.Matcher
  11:       1620755       25932080  java.util.HashSet
  12:       1310236       20963776  java.lang.Integer
  13:        277909       20009448  java.util.regex.Pattern
  14:        277902       15562512  [Ljava.util.regex.Pattern$GroupHead;
  15:         46323       12599160  [Z
  16:        405182        9724368  java.lang.Double
  17:        232040        5568960  java.lang.StringBuffer
  18:        231612        5558688  java.util.regex.Pattern$Slice
  19:        231587        5558088  java.util.regex.Pattern$Start
  20:        231585        5558040  java.util.regex.Pattern$TreeInfo
  21:        139387        4836256  [Ljava.lang.String;
  22:         92634        3705360  java.util.ArrayList$SubList
  23:        139063        3337512  java.util.ArrayList
  24:         46364        1483648  java.util.regex.Pattern$Curly
  25:         46317        1482144  java.util.AbstractList$Itr
  26:         46317        1482144  sun.misc.FloatingDecimal$ASCIIToBinaryBuffer
  27:         46331        1111944  java.util.regex.Pattern$Ctype
  28:         46321        1111704  java.util.regex.Pattern$Dollar
  29:         46320        1111680  java.util.Arrays$ArrayList
  30:         46317        1111608  [Lvertex.Vertex;
  31:         46321         741136  java.util.regex.Pattern$Begin
  32:           510         229472  [B
  33:          1024         116392  java.lang.Class
  34:          7200         115200  vertex.Word
  35:           840          33600  java.util.TreeMap$Entry
  36:           455          21840  java.nio.HeapCharBuffer
  37:           612          19584  java.util.concurrent.ConcurrentHashMap$Node
  38:           182          16016  java.lang.reflect.Method
  39:           171          10944  java.net.URL
  40:           341          10912  sun.misc.FDBigInteger
  41:           252          10080  java.lang.ref.SoftReference
  42:           116           8352  java.lang.reflect.Field
  43:           260           8320  java.lang.ref.WeakReference
  44:           496           7936  java.lang.Object
  45:            28           7072  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  46:           158           5056  java.util.Hashtable$Entry
  47:           121           4840  java.lang.ref.Finalizer
  48:            58           4640  [Ljava.util.WeakHashMap$Entry;
  49:            80           4480  sun.misc.URLClassPath$JarLoader
  50:            56           4336  [Ljava.util.Hashtable$Entry;
  51:            44           4224  java.util.jar.JarFile$JarFileEntry
  52:            97           3880  java.util.LinkedHashMap$Entry
  53:            48           3840  java.lang.reflect.Constructor
  54:            61           3416  sun.nio.cs.UTF_8$Encoder
  55:           172           3384  [Ljava.lang.Class;
  56:            60           3360  java.beans.MethodDescriptor
  57:            52           3328  java.util.jar.JarFile
  58:           138           3312  java.util.jar.Attributes$Name
  59:           119           2856  java.util.LinkedList$Node
  60:            58           2784  java.util.WeakHashMap
  61:           114           2736  java.beans.MethodRef
  62:             7           2632  java.lang.Thread
  63:            52           2496  java.util.Hashtable
  64:            44           2464  java.lang.Class$ReflectionData
  65:            97           2328  java.io.ExpiringCache$Entry
  66:            68           2176  java.lang.ref.ReferenceQueue
  67:            33           2112  java.util.concurrent.ConcurrentHashMap
  68:            43           2064  sun.util.locale.LocaleObjectCache$CacheEntry
  69:            61           1952  java.util.LinkedList
  70:            27           1944  java.beans.PropertyDescriptor
  71:            36           1728  java.util.zip.Inflater
  72:            52           1664  java.util.zip.ZipCoder
  73:            22           1656  [Ljava.lang.reflect.Method;
  74:             1           1560  [[B
  75:            63           1512  java.util.regex.Pattern$Single
  76:            37           1480  java.io.ObjectStreamField
  77:             1           1376  [Lsun.misc.FDBigInteger;
  78:            15           1320  java.util.jar.JarVerifier
  79:            52           1248  java.util.ArrayDeque
  80:            70           1120  java.lang.ref.ReferenceQueue$Lock
  81:             2           1064  [Ljava.lang.invoke.MethodHandle;
  82:             1           1040  [Ljava.lang.Integer;
  83:             1           1040  [[C
  84:            25           1000  java.io.FileDescriptor
  85:            36            864  java.util.zip.ZStreamRef
  86:             7            840  [Ljava.beans.MethodDescriptor;
  87:            15            840  java.lang.Package
  88:            21            840  sun.util.locale.BaseLocale$Key
  89:            20            800  java.util.WeakHashMap$Entry
  90:            12            680  [Ljava.lang.reflect.Field;
  91:            14            672  java.nio.HeapByteBuffer
  92:            21            672  java.util.Locale
  93:            21            672  sun.util.locale.BaseLocale
  94:             8            640  [S
  95:            20            640  java.io.File
  96:             4            576  java.text.DecimalFormat
  97:            21            520  [Ljava.lang.reflect.Constructor;
  98:            21            504  java.util.Locale$LocaleKey
  99:            21            504  sun.reflect.NativeConstructorAccessorImpl
 100:            12            480  java.security.AccessControlContext
 101:            15            480  org.apache.log4j.helpers.PatternParser$LiteralPatternConverter
 102:            14            448  java.io.FileOutputStream
 103:             3            432  [J
 104:            18            432  java.text.DateFormat$Field
 105:            18            432  java.util.jar.Manifest
 106:            18            432  sun.misc.MetaIndex
 107:             9            432  sun.nio.cs.StreamEncoder
 108:            13            392  [Ljava.io.ObjectStreamField;
