
 num     #instances         #bytes  class name
----------------------------------------------
   1:       4470455      435806960  [C
   2:       2526832      164400896  [I
   3:       1459670       46709440  java.util.HashMap$Node
   4:        681665       43626560  java.util.regex.Matcher
   5:       1701639       40839336  java.lang.String
   6:        409008       29448576  java.util.regex.Pattern
   7:        723237       23143584  edge.NetworkConnection
   8:        409000       22904000  [Ljava.util.regex.Pattern$GroupHead;
   9:         68173       18542360  [Z
  10:            72       14726512  [Ljava.util.HashMap$Node;
  11:        211339       11842408  [Ljava.lang.Object;
  12:        341507        8196168  java.lang.StringBuffer
  13:        340861        8180664  java.util.regex.Pattern$Slice
  14:        340836        8180064  java.util.regex.Pattern$Start
  15:        340833        8179992  java.util.regex.Pattern$TreeInfo
  16:        204937        7108656  [Ljava.lang.String;
  17:        136334        5453360  java.util.ArrayList$SubList
  18:        210612        5054688  java.util.ArrayList
  19:         68214        2182848  java.util.regex.Pattern$Curly
  20:         68167        2181344  sun.misc.FloatingDecimal$ASCIIToBinaryBuffer
  21:         68181        1636344  java.util.regex.Pattern$Ctype
  22:         68171        1636104  java.util.regex.Pattern$Dollar
  23:         68170        1636080  java.util.Arrays$ArrayList
  24:         68167        1636008  [Lvertex.Vertex;
  25:         68171        1090736  java.util.regex.Pattern$Begin
  26:           502         188840  [B
  27:          6000         144000  memento.Memento
  28:          1043         118512  java.lang.Class
  29:          6000          96000  memento.Caretaker
  30:          2000          64000  vertex.Computer
  31:          2000          64000  vertex.Router
  32:          2000          64000  vertex.Server
  33:           840          33600  java.util.TreeMap$Entry
  34:           673          32304  java.nio.HeapCharBuffer
  35:           624          19968  java.util.concurrent.ConcurrentHashMap$Node
  36:           181          15928  java.lang.reflect.Method
  37:           171          10944  java.net.URL
  38:           341          10912  sun.misc.FDBigInteger
  39:           253          10120  java.lang.ref.SoftReference
  40:           116           8352  java.lang.reflect.Field
  41:           260           8320  java.lang.ref.WeakReference
  42:           496           7936  java.lang.Object
  43:            28           7072  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  44:           127           6096  java.util.HashMap
  45:           160           5120  java.util.Hashtable$Entry
  46:            58           4640  [Ljava.util.WeakHashMap$Entry;
  47:           112           4480  java.lang.ref.Finalizer
  48:            80           4480  sun.misc.URLClassPath$JarLoader
  49:            57           4400  [Ljava.util.Hashtable$Entry;
  50:            44           4224  java.util.jar.JarFile$JarFileEntry
  51:           256           4096  java.lang.Integer
  52:            50           4000  java.lang.reflect.Constructor
  53:            97           3880  java.util.LinkedHashMap$Entry
  54:           174           3448  [Ljava.lang.Class;
  55:            60           3360  java.beans.MethodDescriptor
  56:            52           3328  java.util.jar.JarFile
  57:           138           3312  java.util.jar.Attributes$Name
  58:            58           3248  sun.nio.cs.UTF_8$Encoder
  59:           119           2856  java.util.LinkedList$Node
  60:            58           2784  java.util.WeakHashMap
  61:           114           2736  java.beans.MethodRef
  62:             7           2632  java.lang.Thread
  63:            53           2544  java.util.Hashtable
  64:            45           2520  java.lang.Class$ReflectionData
  65:            97           2328  java.io.ExpiringCache$Entry
  66:            68           2176  java.lang.ref.ReferenceQueue
  67:            33           2112  java.util.concurrent.ConcurrentHashMap
  68:            43           2064  sun.util.locale.LocaleObjectCache$CacheEntry
  69:            61           1952  java.util.LinkedList
  70:            27           1944  java.beans.PropertyDescriptor
  71:            37           1776  java.util.zip.Inflater
  72:            52           1664  java.util.zip.ZipCoder
  73:            22           1656  [Ljava.lang.reflect.Method;
  74:             1           1560  [[B
  75:            63           1512  java.util.regex.Pattern$Single
  76:            37           1480  java.io.ObjectStreamField
  77:             1           1376  [Lsun.misc.FDBigInteger;
  78:            15           1320  java.util.jar.JarVerifier
  79:            52           1248  java.util.ArrayDeque
  80:            70           1120  java.lang.ref.ReferenceQueue$Lock
  81:             2           1064  [Ljava.lang.invoke.MethodHandle;
