  S0     S1     E      O      M     CCS    YGC     YGCT    FGC    FGCT     GCT   
  0.00  57.81  89.99  33.55  95.45  94.34     39    1.662     1    0.322    1.985
 59.55   0.00  22.00  37.45  95.45  94.34     40    1.706     1    0.322    2.028
 59.55   0.00  76.00  37.45  95.45  94.34     40    1.706     1    0.322    2.028
  0.00  56.68  18.00  41.33  95.45  94.34     41    1.753     1    0.322    2.075
  0.00  56.68  68.00  41.33  95.45  94.34     41    1.753     1    0.322    2.075
 60.80   0.00   6.00  44.94  95.45  94.34     42    1.813     1    0.322    2.136
 60.80   0.00  48.00  44.94  95.45  94.34     42    1.813     1    0.322    2.136
 60.80   0.00  63.51  44.94  95.45  94.34     42    1.813     1    0.322    2.136
 60.80   0.00  90.63  44.94  95.45  94.34     43    1.813     1    0.322    2.136
  0.00  45.04  40.66  59.10  95.45  94.34     43    1.867     1    0.322    2.189
  0.00  45.04  88.29  59.10  95.45  94.34     43    1.867     1    0.322    2.189
 44.58   0.00  31.92  61.70  95.45  94.34     44    1.893     1    0.322    2.215
 44.58   0.00  83.66  61.70  95.45  94.34     44    1.893     1    0.322    2.215
  0.00  69.79  25.91  64.20  95.45  94.34     45    1.927     1    0.322    2.249
  0.00  69.79  75.75  64.20  95.45  94.34     45    1.927     1    0.322    2.249
 67.58   0.00  19.96  68.19  95.45  94.34     46    1.968     1    0.322    2.291
 67.58   0.00  68.19  68.19  95.45  94.34     46    1.968     1    0.322    2.291
  0.00  76.89   9.99  71.90  95.45  94.34     47    2.014     1    0.322    2.336
  0.00  76.89  59.92  71.90  95.45  94.34     47    2.014     1    0.322    2.336
 66.37   0.00   2.00  76.18  95.45  94.34     48    2.059     1    0.322    2.382
 66.37   0.00  53.95  76.18  95.45  94.34     48    2.059     1    0.322    2.382
 66.37   0.00  93.92  76.18  95.45  94.34     48    2.059     1    0.322    2.382
  0.00  66.45   9.99  79.88  95.45  94.34     49    2.165     1    0.322    2.487
  0.00  66.45  50.63  79.88  95.45  94.34     49    2.165     1    0.322    2.487
  0.00  66.45  84.61  79.88  95.45  94.34     49    2.165     1    0.322    2.487
100.00  66.45  97.44  82.71  95.45  94.34     50    2.165     1    0.322    2.487
100.00   0.00  57.39  86.92  95.48  94.34     50    2.239     1    0.322    2.561
100.00   0.00  91.13  86.92  95.48  94.34     50    2.239     1    0.322    2.561
  0.00  97.59  39.80  89.00  95.49  94.34     51    2.261     1    0.322    2.583
  0.00  97.59  93.54  89.00  95.49  94.34     51    2.261     1    0.322    2.583
 42.36   0.00  40.05  90.50  95.49  94.34     52    2.290     1    0.322    2.612
 42.36  29.54 100.00  92.64  95.49  94.34     53    2.290     1    0.322    2.612
  0.00  99.16   0.00  93.98  95.49  94.34     53    2.332     2    0.322    2.655
  0.00   0.00  43.91   8.94  95.49  94.34     53    2.332     2    0.610    2.942
  0.00   0.00  96.15   8.94  95.49  94.34     53    2.332     2    0.610    2.942
 51.33   0.00  43.94   8.94  95.49  94.34     54    2.360     2    0.610    2.970
 51.33   0.00  97.87   8.94  95.49  94.34     54    2.360     2    0.610    2.970
  0.00  46.36  41.96  13.00  95.49  94.34     55    2.401     2    0.610    3.011
  0.00  46.36  95.92  13.00  95.49  94.34     55    2.401     2    0.610    3.011
 48.04   0.00  37.98  16.49  95.49  94.34     56    2.451     2    0.610    3.061
 48.04   0.00  89.95  16.49  95.49  94.34     56    2.451     2    0.610    3.061
  0.00  50.20  28.68  19.97  95.49  94.34     57    2.500     2    0.610    3.110
  0.00  50.20  52.67  19.97  95.49  94.34     57    2.500     2    0.610    3.110
  0.00  50.20  80.78  19.97  95.49  94.34     57    2.500     2    0.610    3.110
 33.50   0.00  22.89  32.45  95.49  94.34     58    2.545     2    0.610    3.155
 33.50   0.00  68.54  32.45  95.49  94.34     58    2.545     2    0.610    3.155
  0.00  42.84  15.92  34.70  95.49  94.34     59    2.569     2    0.610    3.179
  0.00  42.84  67.66  34.70  95.49  94.34     59    2.569     2    0.610    3.179
 60.92   0.00   9.97  37.50  95.49  94.34     60    2.603     2    0.610    3.213
 60.92   0.00  61.80  37.50  95.49  94.34     60    2.603     2    0.610    3.213
  0.00  56.46   5.99  41.39  95.49  94.34     61    2.643     2    0.610    3.253
  0.00  56.46  57.88  41.39  95.49  94.34     61    2.643     2    0.610    3.253
 68.15   0.00   0.00  45.02  95.49  94.34     62    2.687     2    0.610    3.297
 68.15   0.00  51.93  45.02  95.49  94.34     62    2.687     2    0.610    3.297
  0.00  59.08   0.00  49.22  95.49  94.34     63    2.732     2    0.610    3.342
  0.00  59.08  45.96  49.22  95.49  94.34     63    2.732     2    0.610    3.342
 27.24  59.08 100.00  50.82  95.49  94.34     64    2.732     2    0.610    3.342
 63.62   0.00  45.97  52.85  95.49  94.34     64    2.792     2    0.610    3.402
 63.62   0.00  83.95  52.85  95.49  94.34     64    2.792     2    0.610    3.402
 63.62 100.00  97.07  57.32  95.49  94.34     65    2.792     2    0.610    3.402
  0.00 100.00  57.51  58.30  95.49  94.34     65    2.862     2    0.610    3.472
  0.00 100.00  89.27  58.30  95.49  94.34     65    2.862     2    0.610    3.472
 25.68   0.00  35.82  61.53  95.49  94.34     66    2.889     2    0.610    3.499
 25.68   0.00  89.56  61.53  95.49  94.34     66    2.889     2    0.610    3.499
  0.00  43.59  35.88  63.08  95.49  94.34     67    2.916     2    0.610    3.526
  0.00  43.59  91.71  63.08  95.49  94.34     67    2.916     2    0.610    3.526
 53.84   0.00  37.92  66.58  95.49  94.34     68    2.955     2    0.610    3.565
 53.84   0.00  88.17  66.58  95.49  94.34     68    2.955     2    0.610    3.565
  0.00  53.04  21.97  70.07  95.49  94.34     69    2.997     2    0.610    3.607
  0.00  53.04  75.90  70.07  95.49  94.34     69    2.997     2    0.610    3.607
 52.40   0.00  19.98  74.14  95.49  94.34     70    3.040     2    0.610    3.650
 52.40   0.00  71.94  74.14  95.49  94.34     70    3.040     2    0.610    3.650
  0.00  49.30  11.99  77.64  95.49  94.34     71    3.098     2    0.610    3.708
  0.00  49.30  65.96  77.64  95.49  94.34     71    3.098     2    0.610    3.708
 55.60   0.00   4.00  81.18  95.49  94.34     72    3.156     2    0.610    3.766
