 S0C    S1C    S0U    S1U      EC       EU        OC         OU       MC     MU    CCSC   CCSU   YGC     YGCT    FGC    FGCT     GCT   
110080.0 5632.0  0.0   5360.0 484864.0 134864.5  699392.0   178232.6  5760.0 5496.5 640.0  603.8      11    0.553   0      0.000    0.553
110080.0 5632.0  0.0   5360.0 484864.0 414737.5  699392.0   178232.6  5760.0 5496.5 640.0  603.8      11    0.553   0      0.000    0.553
110080.0 108544.0 21344.0  0.0   480256.0 191276.8  699392.0   183352.6  5760.0 5496.5 640.0  603.8      12    0.580   0      0.000    0.580
106496.0 22528.0  0.0   22208.0 480256.0   0.0     699392.0   203696.6  5760.0 5496.5 640.0  603.8      13    0.612   0      0.000    0.612
106496.0 22528.0  0.0   22208.0 480256.0 277770.3  699392.0   203696.6  5760.0 5496.5 640.0  603.8      13    0.612   0      0.000    0.612
106496.0 104448.0 20256.0  0.0   482304.0 67400.1   699392.0   225928.6  5760.0 5496.5 640.0  603.8      14    0.648   0      0.000    0.648
106496.0 104448.0 20256.0  0.0   482304.0 358305.2  699392.0   225928.6  5760.0 5496.5 640.0  603.8      14    0.648   0      0.000    0.648
100864.0 104448.0  0.0   24288.0 482304.0 134886.0  699392.0   246208.6  5760.0 5496.5 640.0  603.8      15    0.687   0      0.000    0.687
100864.0 104448.0  0.0   24288.0 482304.0 443196.5  699392.0   246208.6  5760.0 5496.5 640.0  603.8      15    0.687   0      0.000    0.687
100352.0 97792.0 20224.0  0.0   491008.0 206065.8  699392.0   270496.7  5760.0 5496.5 640.0  603.8      16    0.727   0      0.000    0.727
100352.0 97792.0 20224.0  0.0   491008.0 490632.5  699392.0   270496.7  5760.0 5496.5 640.0  603.8      17    0.727   0      0.000    0.727
94720.0 97792.0  0.0   20544.0 491008.0 235567.0  699392.0   290736.7  5760.0 5496.5 640.0  603.8      17    0.783   0      0.000    0.783
94208.0 91648.0 20544.0  0.0   503808.0   0.0     699392.0   311304.7  5760.0 5496.5 640.0  603.8      18    0.837   0      0.000    0.837
94208.0 91648.0 20544.0  0.0   503808.0 271969.3  699392.0   311304.7  5760.0 5496.5 640.0  603.8      18    0.837   0      0.000    0.837
94208.0 91648.0 20544.0 2496.0 503808.0 503808.0  699392.0   314256.7  5760.0 5496.5 640.0  603.8      19    0.837   0      0.000    0.837
89088.0 91648.0  0.0   42207.0 503808.0 117186.2  699392.0   331872.7  5760.0 5496.5 640.0  603.8      19    0.905   0      0.000    0.905
89088.0 91648.0  0.0   42207.0 503808.0 408898.4  699392.0   331872.7  5760.0 5496.5 640.0  603.8      19    0.905   0      0.000    0.905
89088.0 88576.0 4304.0  0.0   513536.0 143771.1  699392.0   357088.7  5760.0 5496.5 640.0  603.8      20    0.930   0      0.000    0.930
89088.0 88576.0 4304.0  0.0   513536.0 441582.5  699392.0   357088.7  5760.0 5496.5 640.0  603.8      20    0.930   0      0.000    0.930
84992.0 88576.0  0.0   22624.0 513536.0 215667.0  699392.0   361240.8  5760.0 5496.5 640.0  603.8      21    0.951   0      0.000    0.951
84992.0 88576.0  0.0   22624.0 513536.0 513536.0  699392.0   361240.8  5760.0 5496.5 640.0  603.8      22    0.951   0      0.000    0.951
80896.0 80896.0 23648.0  0.0   525312.0 273147.0  699392.0   382824.8  5760.0 5496.5 640.0  603.8      22    0.986   0      0.000    0.986
77312.0 80896.0  0.0   22144.0 525312.0 10506.0   699392.0   406480.8  5760.0 5496.5 640.0  603.8      23    1.024   0      0.000    1.024
77312.0 80896.0  0.0   22144.0 525312.0 306717.9  699392.0   406480.8  5760.0 5496.5 640.0  603.8      23    1.024   0      0.000    1.024
72704.0 73216.0 26112.0  0.0   540672.0 32439.5   699392.0   428672.8  5760.0 5496.5 640.0  603.8      24    1.066   0      0.000    1.066
72704.0 73216.0 26112.0  0.0   540672.0 346022.7  699392.0   428672.8  5760.0 5496.5 640.0  603.8      24    1.066   0      0.000    1.066
69632.0 73216.0  0.0   22624.0 540672.0 64879.7   699392.0   454776.8  5760.0 5496.5 640.0  603.8      25    1.112   0      0.000    1.112
69632.0 73216.0  0.0   22624.0 540672.0 378465.6  699392.0   454776.8  5760.0 5496.5 640.0  603.8      25    1.112   0      0.000    1.112
66560.0 66560.0 22624.0  0.0   556032.0 77843.7   699392.0   477424.8  5760.0 5496.5 640.0  603.8      26    1.168   0      0.000    1.168
66560.0 66560.0 22624.0  0.0   556032.0 378099.2  699392.0   477424.8  5760.0 5496.5 640.0  603.8      26    1.168   0      0.000    1.168
64000.0 66560.0  0.0   31104.0 556032.0 22241.1   699392.0   500072.8  5760.0 5496.5 640.0  603.8      27    1.224   0      0.000    1.224
64000.0 66560.0  0.0   31104.0 556032.0 222411.2  699392.0   500072.8  5760.0 5496.5 640.0  603.8      27    1.224   0      0.000    1.224
64000.0 66560.0  0.0   31104.0 556032.0 344829.9  699392.0   500072.8  5760.0 5496.5 640.0  603.8      27    1.224   0      0.000    1.224
64000.0 86528.0 63989.3  0.0   525824.0 62621.9   699392.0   534688.9  5760.0 5496.5 640.0  603.8      28    1.278   0      0.000    1.278
64000.0 86528.0 63989.3  0.0   525824.0 292188.4  699392.0   534688.9  5760.0 5496.5 640.0  603.8      28    1.278   0      0.000    1.278
84480.0 86528.0  0.0   17136.0 525824.0 52314.8   699392.0   535960.9  5760.0 5496.5 640.0  603.8      29    1.296   0      0.000    1.296
84480.0 86528.0  0.0   17136.0 525824.0 355739.9  699392.0   535960.9  5760.0 5496.5 640.0  603.8      29    1.296   0      0.000    1.296
75264.0 80896.0 23168.0  0.0   527872.0 105225.0  699392.0   552568.9  5760.0 5496.5 640.0  603.8      30    1.327   0      0.000    1.327
75264.0 80896.0 23168.0  0.0   527872.0 410378.1  699392.0   552568.9  5760.0 5496.5 640.0  603.8      30    1.327   0      0.000    1.327
77824.0 80896.0  0.0   24224.0 527872.0 147486.8  699392.0   574736.9  5760.0 5496.5 640.0  603.8      31    1.366   0      0.000    1.366
77824.0 80896.0  0.0   24224.0 527872.0 442459.6  699392.0   574736.9  5760.0 5496.5 640.0  603.8      31    1.366   0      0.000    1.366
68096.0 74240.0 26208.0  0.0   540160.0 161821.7  699392.0   596944.9  5760.0 5496.5 640.0  603.8      32    1.409   0      0.000    1.409
68096.0 74240.0 26208.0  0.0   540160.0 474677.1  699392.0   596944.9  5760.0 5496.5 640.0  603.8      32    1.409   0      0.000    1.409
71168.0 74240.0  0.0   22688.0 540160.0 194281.0  699392.0   623161.0  5760.0 5496.5 640.0  603.8      33    1.454   0      0.000    1.454
71168.0 74240.0  0.0   22688.0 540160.0 496496.5  699392.0   623161.0  5760.0 5496.5 640.0  603.8      33    1.454   0      0.000    1.454
62976.0 68608.0 22592.0  0.0   553472.0 199132.6  699392.0   645841.0  5760.0 5496.5 640.0  603.8      34    1.505   0      0.000    1.505
62976.0 68608.0 22592.0  0.0   553472.0 508895.7  699392.0   645841.0  5760.0 5496.5 640.0  603.8      34    1.505   0      0.000    1.505
65536.0 68608.0  0.0   23168.0 553472.0   0.0     699392.0   668473.0  5760.0 5496.5 640.0  603.8      35    1.557   1      0.000    1.557
65536.0 68608.0  0.0   23168.0 553472.0   0.0     699392.0   668473.0  5760.0 5496.5 640.0  603.8      35    1.557   1      0.000    1.557
65536.0 68608.0  0.0   23168.0 553472.0   0.0     699392.0   668473.0  5760.0 5496.5 640.0  603.8      35    1.557   1      0.000    1.557
65536.0 68608.0  0.0    0.0   553472.0 203269.6  699392.0   156419.2  5760.0 5496.5 640.0  603.8      35    1.557   1      0.733    2.290
65536.0 68608.0  0.0    0.0   553472.0 413508.4  699392.0   156419.2  5760.0 5496.5 640.0  603.8      35    1.557   1      0.733    2.290
65536.0 68608.0  0.0    0.0   553472.0 535650.2  699392.0   156419.2  5760.0 5496.5 640.0  603.8      36    1.557   1      0.733    2.290
65536.0 78848.0 65519.0  0.0   541184.0 282975.5  699392.0   165859.2  5760.0 5496.5 640.0  603.8      36    1.613   1      0.733    2.346
65536.0 78848.0 65519.0 6288.0 541184.0 541184.0  699392.0   186835.2  5760.0 5496.5 640.0  603.8      37    1.613   1      0.733    2.346
78336.0 78848.0  0.0   11408.0 541184.0 301590.8  699392.0   186835.2  5760.0 5496.5 640.0  603.8      37    1.637   1      0.733    2.370
70656.0 74752.0 23808.0  0.0   541696.0 43199.0   699392.0   197691.3  5760.0 5496.5 640.0  603.8      38    1.665   1      0.733    2.398
70656.0 74752.0 23808.0  0.0   541696.0 345590.8  699392.0   197691.3  5760.0 5496.5 640.0  603.8      38    1.665   1      0.733    2.398
71168.0 74752.0  0.0   24832.0 541696.0 64870.2   699392.0   220507.3  5760.0 5496.5 640.0  603.8      39    1.700   1      0.733    2.433
71168.0 74752.0  0.0   24832.0 541696.0 313539.4  699392.0   220507.3  5760.0 5496.5 640.0  603.8      39    1.700   1      0.733    2.433
