n	3
h	20
t	3
N	100
k	3
MV	5
ID	Strategy	Direction	ArriveTime	Velocity	Ladder
160002	WaitUtilFirstPedalStrategy	R2L	65	5	1
160003	WaitUtilFirstPedalStrategy	L2R	66	5	2
160001	WaitUtilFirstPedalStrategy	L2R	65	5	2
320001	WaitUtilFirstPedalStrategy	R2L	113	5	1
320002	WaitUtilFirstPedalStrategy	R2L	113	5	3
320003	WaitUtilFirstPedalStrategy	L2R	113	5	2
170002	WaitUtilFirstPedalStrategy	R2L	68	1	1
10001	WaitUtilFirstPedalStrategy	R2L	4	5	1
170003	WaitUtilFirstPedalStrategy	L2R	69	5	2
10002	WaitUtilFirstPedalStrategy	L2R	4	5	2
10003	WaitUtilFirstPedalStrategy	R2L	20	1	3
170001	WaitUtilFirstPedalStrategy	L2R	68	5	2
330001	WaitUtilFirstPedalStrategy	L2R	116	1	2
330003	WaitUtilFirstPedalStrategy	R2L	116	5	1
330002	WaitUtilFirstPedalStrategy	L2R	117	5	2
180002	WaitUtilFirstPedalStrategy	R2L	71	5	1
20001	WaitUtilFirstPedalStrategy	R2L	23	1	1
180003	WaitUtilFirstPedalStrategy	R2L	71	1	3
20002	WaitUtilFirstPedalStrategy	L2R	23	1	2
20003	WaitUtilFirstPedalStrategy	R2L	23	1	3
180001	WaitUtilFirstPedalStrategy	L2R	71	1	2
340001	WaitUtilFirstPedalStrategy	R2L	119	5	1
190002	WaitUtilFirstPedalStrategy	R2L	74	5	1
30001	WaitUtilFirstPedalStrategy	R2L	26	1	1
190003	WaitUtilFirstPedalStrategy	L2R	75	5	2
30002	WaitUtilFirstPedalStrategy	L2R	26	5	2
30003	WaitUtilFirstPedalStrategy	R2L	26	1	3
190001	WaitUtilFirstPedalStrategy	L2R	74	5	2
200003	WaitUtilFirstPedalStrategy	R2L	77	5	1
40001	WaitUtilFirstPedalStrategy	R2L	29	5	1
200002	WaitUtilFirstPedalStrategy	L2R	78	1	2
40002	WaitUtilFirstPedalStrategy	R2L	29	1	3
200001	WaitUtilFirstPedalStrategy	L2R	77	5	2
40003	WaitUtilFirstPedalStrategy	R2L	30	1	1
210003	WaitUtilFirstPedalStrategy	R2L	81	1	1
50001	WaitUtilFirstPedalStrategy	R2L	32	1	1
210002	WaitUtilFirstPedalStrategy	R2L	80	1	3
50002	WaitUtilFirstPedalStrategy	L2R	32	1	2
210001	WaitUtilFirstPedalStrategy	R2L	80	5	1
50003	WaitUtilFirstPedalStrategy	L2R	33	1	2
220003	WaitUtilFirstPedalStrategy	R2L	84	5	1
60001	WaitUtilFirstPedalStrategy	R2L	35	5	1
220002	WaitUtilFirstPedalStrategy	R2L	83	5	3
60002	WaitUtilFirstPedalStrategy	R2L	36	1	1
220001	WaitUtilFirstPedalStrategy	R2L	83	1	1
60003	WaitUtilFirstPedalStrategy	R2L	35	1	3
70001	WaitUtilFirstPedalStrategy	R2L	38	1	1
230003	WaitUtilFirstPedalStrategy	L2R	87	1	2
230002	WaitUtilFirstPedalStrategy	R2L	86	1	1
70003	WaitUtilFirstPedalStrategy	R2L	38	5	3
230001	WaitUtilFirstPedalStrategy	L2R	86	1	2
70002	WaitUtilFirstPedalStrategy	L2R	38	5	2
80001	WaitUtilFirstPedalStrategy	R2L	41	5	1
240003	WaitUtilFirstPedalStrategy	L2R	89	5	2
240002	WaitUtilFirstPedalStrategy	R2L	89	1	3
80003	WaitUtilFirstPedalStrategy	R2L	41	5	3
240001	WaitUtilFirstPedalStrategy	R2L	89	1	1
80002	WaitUtilFirstPedalStrategy	L2R	41	5	2
90001	WaitUtilFirstPedalStrategy	L2R	44	1	2
250003	WaitUtilFirstPedalStrategy	R2L	92	5	1
250002	WaitUtilFirstPedalStrategy	R2L	92	1	3
90003	WaitUtilFirstPedalStrategy	L2R	45	5	2
250001	WaitUtilFirstPedalStrategy	L2R	92	5	2
90002	WaitUtilFirstPedalStrategy	R2L	44	5	1
100001	WaitUtilFirstPedalStrategy	L2R	47	5	2
260003	WaitUtilFirstPedalStrategy	L2R	95	1	2
260002	WaitUtilFirstPedalStrategy	R2L	95	5	3
100003	WaitUtilFirstPedalStrategy	L2R	48	5	2
260001	WaitUtilFirstPedalStrategy	R2L	95	5	1
100002	WaitUtilFirstPedalStrategy	L2R	49	1	2
110001	WaitUtilFirstPedalStrategy	R2L	50	1	1
110003	WaitUtilFirstPedalStrategy	L2R	51	5	2
110002	WaitUtilFirstPedalStrategy	R2L	50	1	3
270001	WaitUtilFirstPedalStrategy	R2L	98	5	1
270002	WaitUtilFirstPedalStrategy	R2L	98	5	3
270003	WaitUtilFirstPedalStrategy	L2R	98	5	2
120001	WaitUtilFirstPedalStrategy	R2L	53	1	1
120003	WaitUtilFirstPedalStrategy	R2L	54	5	1
120002	WaitUtilFirstPedalStrategy	R2L	53	5	3
280001	WaitUtilFirstPedalStrategy	R2L	101	5	1
280002	WaitUtilFirstPedalStrategy	R2L	101	5	3
280003	WaitUtilFirstPedalStrategy	R2L	102	1	1
130001	WaitUtilFirstPedalStrategy	R2L	56	5	1
130003	WaitUtilFirstPedalStrategy	L2R	57	5	2
130002	WaitUtilFirstPedalStrategy	L2R	56	1	2
290001	WaitUtilFirstPedalStrategy	R2L	104	5	1
290002	WaitUtilFirstPedalStrategy	R2L	104	1	3
290003	WaitUtilFirstPedalStrategy	R2L	105	5	1
140002	WaitUtilFirstPedalStrategy	L2R	60	1	2
140003	WaitUtilFirstPedalStrategy	L2R	61	5	2
140001	WaitUtilFirstPedalStrategy	L2R	59	5	2
300001	WaitUtilFirstPedalStrategy	L2R	107	5	2
300002	WaitUtilFirstPedalStrategy	R2L	107	5	1
300003	WaitUtilFirstPedalStrategy	L2R	108	1	2
150002	WaitUtilFirstPedalStrategy	L2R	62	1	2
150003	WaitUtilFirstPedalStrategy	R2L	62	5	1
150001	WaitUtilFirstPedalStrategy	L2R	64	5	2
310001	WaitUtilFirstPedalStrategy	L2R	110	1	2
310002	WaitUtilFirstPedalStrategy	L2R	111	1	2
310003	WaitUtilFirstPedalStrategy	L2R	112	5	2
Throughput = 0.8403361344537815
Justice = 1.0000000000
